id,topic,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
135,Machine Learning,medium,What is the difference between classification and regression?,Classification predicts a continuous value; Regression predicts a discrete label,Classification predicts a discrete label; Regression predicts a continuous value,They are the same thing,Regression is an unsupervised task,b,"Classification models predict a discrete or categorical outcome (e.g., Spam"" or ""Not Spam""). Regression models predict a continuous or numerical outcome (e.g."
136,SQL,medium,What is a subquery?,A query within a function,A query within another query,A query used to create a view,A query that modifies data,b,"A subquery (or nested query) is a query embedded within another SQL query. It can be used to return a single value, a single row, or a table of values."
137,Python,easy,How do you convert a string '42' to an integer?,int('42'),str_to_int('42'),to_int('42'),integer('42'),a,The built-in `int()` function is used to convert a string of digits into an integer data type.
138,Computer Networks,medium,Which protocol is used to automatically assign IP addresses?,DNS,DHCP,FTP,TCP,b,DHCP (Dynamic Host Configuration Protocol) assigns IP addresses automatically to devices on a network.
139,SQL,medium,What is the purpose of the `GROUP BY` clause?,To filter rows based on a condition,To combine rows with the same values into summary rows,To sort the result set,To join multiple tables together,b,"The `GROUP BY` clause is used with aggregate functions (like COUNT, SUM, AVG) to group rows that have the same values in specified columns into summary rows."
140,Data Structures,hard,What is the space complexity of adjacency list representation for a graph with V vertices and E edges?,O(V+E),O(V^2),O(E^2),O(VE),a,"Adjacency list stores all vertices and adjacency edges, giving O(V+E) space usage."
141,SQL,easy,Which SQL statement is used to retrieve data?,SAVE,SELECT,FETCH,VIEW,b,The `SELECT` statement retrieves rows from a database.
142,Computer Networks,easy,Which protocol is used for sending emails?,HTTP,SMTP,IMAP,FTP,b,SMTP is the standard protocol for sending emails.
143,Data Structures,medium,What is an AVL tree?,A compressed B-Tree, A hash indexed tree,A self-balancing binary search tree,A randomized tree,c,"An AVL tree is a self-balancing BST ensuring O(log n) operations by maintaining a balance factor of -1, 0, 1."
144,Cloud Computing,hard,What is vendor lock-in?,Using multiple cloud providers,Inability to migrate easily,Using private servers,Avoiding backups,b,Vendor lock-in occurs when apps depend heavily on a cloud provider.
145,Cybersecurity,medium,What is the purpose of a digital certificate in network security?,To encrypt network traffic,To verify the identity of a website or server,To store a user's password securely,To manage user permissions,b,"A digital certificate, issued by a Certificate Authority, is used to verify the identity of a website or server. It establishes a secure connection and confirms that the server is who it claims to be."
146,Machine Learning,hard,"What is the ""vanishing gradient"" problem?",When the model's performance plateaus during training,"When the gradient becomes extremely large, leading to unstable training","When the gradient becomes extremely small, slowing down or halting the learning process",When a model's weights become zero,c,"The vanishing gradient problem occurs during backpropagation in deep neural networks. As the gradient is passed back through many layers, it can become very small, causing the weights in the earlier layers to update very slowly or not at all, which makes learning difficult."
147,Data Structures,medium,What is a sparse matrix?,Matrix with mostly non-zero values,Matrix with mostly zero values,Always square matrix,Matrix stored in arrays,b,A sparse matrix stores mostly zeros efficiently.
148,Cybersecurity,hard,"What is ""cryptographic salt""?",A type of encryption algorithm,Random data used as an additional input to a one-way function that hashes a password,A key used to decrypt data,A type of attack on a cryptosystem,b,"Cryptographic salt is a piece of random data used to modify a password hash. It is added to the password before hashing to prevent a common attack called a rainbow table"" attack and makes it harder to crack passwords with pre-computed tables."""
149,Algorithms,hard,Which of the following problems can be solved using dynamic programming?,Finding the shortest path in a graph,Solving the 0/1 Knapsack problem,Finding the median of an array,Finding the factorial of a number,b,The 0/1 Knapsack problem is a classic example of a problem that can be solved efficiently using dynamic programming because it has both optimal substructure and overlapping subproblems.
150,Data Structures,medium,What is advantage of doubly linked list?,Less memory,Access in both directions,Faster CPU usage,No nulls,b,DLL nodes have both next and previous pointers.
151,Data Structures,hard,What is worst-case insertion complexity in a B-Tree?,O(1),O(log n),O(n),O(n log n),b,B-Tree insertions guarantee O(log n) performance.
152,Cloud Computing,medium,What is a microservices architecture?,A system where a single application is broken down into small, independent services,A system with a single large codebase,A system that uses a single monolithic database,a type of front-end framework,A
153,Operating Systems,medium,What is the difference between a process and a thread?,A process is a part of a thread,A thread is an independent program,A process is a program in execution,A process is a single-threaded program,c,"A process is an instance of a program being executed, while a thread is a lightweight process that can run within a process. Multiple threads can exist within a single process and share its resources."
